key,n_node,n_edge,total_length,mean_edge_len,len_cv,deg2_count,deg4_count,degree_entropy,orient_entropy,anisotropy,radius_gyration,moment_total,clustering_coef,fiedler_value,lambda_max,spectral_gap_ratio,aspl_giant,boundary_frac,fractal_dim_box,rigidity_index,redundancy_ratio,max_k_core,kcore_frac,triangle_count,triangle_ratio,quad_count,quad_ratio,avg_shortest_dy,straightness,mesh_median_area,mesh_cv_area,mesh_max_area_ratio,edge_betweenness_max,edge_betweenness_gini,largest_pore_ratio,top_area_sum_ratio,top_convexity_min,top_convexity_mean,top_circularity_min,big_pore_count,total_pore_count,total_pore_ratio,center_pore_ratio,edge_pore_ratio,pore_area_cv,pore_area_skew,pore_area_kurtosis,pore_area_max_over_mean,pore_large_area_frac,pore_count_large_frac,pore_density,pore_spatial_cv,contact_thick,contact_canvas_size,contact_nodes,contact_edges,contact_edge_pixel_union_count,contact_edge_pixel_sum,contact_raw_overlap_pixel_count,contact_overlap_pixel_count,contact_overlap_pair_count,contact_overlap_pairs_per_edge,contact_edges_with_contact_count,contact_edges_with_contact_ratio,contact_overlap_pixel_ratio_union,contact_raw_overlap_pixel_ratio_union,contact_overlap_pixel_ratio_canvas,contact_overlap_length_px_approx,contact_overlap_length_ratio_centerline,contact_centerline_length_px,contact_overlap_pair_size_sum,contact_overlap_pair_size_mean,contact_overlap_pair_size_median,contact_overlap_pair_size_max,contact_overlap_pair_size_std,contact_overlap_pair_size_q75,contact_overlap_pair_size_q90,contact_overlap_pair_size_q95,contact_overlap_cc_count,contact_overlap_cc_size_sum,contact_overlap_cc_size_mean,contact_overlap_cc_size_median,contact_overlap_cc_size_max,contact_overlap_cc_size_std,contact_overlap_cc_size_q75,contact_overlap_cc_size_q90,contact_overlap_cc_size_q95,contact_edge_contact_degree_mean,contact_edge_contact_degree_median,contact_edge_contact_degree_max,contact_edge_contact_degree_std,contact_edge_contact_degree_q75,contact_edge_contact_degree_q90,contact_edge_contact_degree_q95,max_load
3_-0.01_-0.4_-0.05_-0.42_0.31_-0.11_0.32_-0.2_0.46_0.13,320,464,25.6628,0.0553077,0.797813,184,132,1.06507,3.67576,2.22045e-16,0.456042,369.732,0.141369,0.0123961,9.35944,0.00132445,13.6632,0.0517241,0.894292,-173,0.3125,2,1,68,0.146552,25,0.0538793,1.33518,1.04311,247.5,1.92061,0.0596943,0.114097,0.463839,0.0596943,0.178928,0.792001,0.792045,0.402344,21,112,0.791318,0.645908,0.14541,1.92061,2.35346,5.60527,8.44889,0.877432,0.205357,0.000106812,0.074489,9,1024,320,464,196694,305686,61838,21034,496,1.06897,324,0.698276,0.106938,0.314387,0.0200596,2337.11,0.115182,20290.6,50132,101.073,94,517,105.833,116.25,162,164,76,21034,276.763,74,717,283.457,620,715.5,716,2.13793,2,7,2.02526,4,5,6,81.0936
3_-0.01_-0.5_-0.12_-0.31_-0.45_-0.1_0.01_-0.23_0.42_0.14,392,608,31.2347,0.0513729,1.11614,184,204,1.07004,3.39208,1.11022e-16,0.448926,482.627,0.188533,0.0137099,9.37241,0.00146279,11.7873,0.0394737,0.877812,-173,0.356908,2,1,92,0.151316,21,0.0345395,1.43388,1.07541,350.5,1.50615,0.0519066,0.111438,0.563533,0.0519066,0.155714,0.800956,0.800994,0.397555,21,80,0.764846,0.510445,0.254401,1.50615,1.60773,1.68555,5.42923,0.617436,0.15,7.62939e-05,0.181513,9,1024,392,608,210158,367816,63020,39180,3712,6.10526,588,0.967105,0.186431,0.29987,0.037365,4353.33,0.183269,23753.9,247667,66.7206,57,560,66.4655,83,123,180,52,39180,753.462,1,5890,1584.7,797,1571.8,5869.6,12.2105,8,39,10.6781,13,29,35,86.7903
3_-0.01_0.05_0.11_-0.11_0.44_0.28_-0.07_-0.13_-0.15_0.01,304,432,25.6858,0.0594579,0.768861,184,116,1.05102,3.90759,1.11022e-16,0.412587,319.967,0.499687,0.00821959,9.18613,0.000894782,15.2645,0.0555556,0.88706,-173,0.298611,2,1,108,0.25,12,0.0277778,1.33449,1.22806,184,2.40646,0.0704508,0.153154,0.613077,0.0704508,0.211347,0.713894,0.71392,0.161648,9,89,0.752275,0.633989,0.118285,2.40646,2.52157,4.60418,8.33488,0.815735,0.101124,8.4877e-05,0.089533,9,1024,304,432,247080,346208,65594,4380,544,1.25926,276,0.638889,0.0177271,0.265477,0.00417709,486.667,0.0203614,23901.5,25488,46.8529,38,120,31.4828,72,100,103,36,4380,121.667,175,178,77.1045,177,177.5,178,2.51852,3,6,2.25455,5,5,6,67.4048
3_-0.01_0.06_-0.3_-0.01_-0.48_-0.42_0.31_-0.13_0.41_0.2,516,856,29.5044,0.0344678,1.60681,184,328,1.00035,3.886,1.11022e-15,0.408111,609.202,0.191214,0.0116067,9.59822,0.00120926,12.6684,0.0280374,0.910316,-173,0.398364,2,1,124,0.14486,87,0.101636,1.28927,1.00725,5561,1.31223,0.0597811,0.118306,0.601503,0.0597811,0.179128,0.798508,0.798706,0.28233,21,64,0.763895,0.625113,0.138783,1.31223,1.75016,2.71031,5.00853,0.479712,0.125,6.10352e-05,0.0750534,9,1024,516,856,224968,388842,57624,25936,5259,6.14369,776,0.906542,0.115288,0.256143,0.0247345,2881.78,0.123267,23378.4,287806,54.7264,44,385,45.5078,82,110,131,16,25936,1621,998.5,4387,1637.82,1848.5,4386,4386.25,12.2874,12,32,8.30967,19,21,27,72.1754
3_-0.01_0.0_-0.03_-0.11_0.06_0.11_0.09_0.38_-0.02_-0.01,220,264,19.1173,0.0724142,0.544021,184,32,0.72529,3.31701,2.22045e-16,0.422665,202.284,0,0.0119278,9.18123,0.00129915,15.6037,0.0909091,0.794778,-173,0.170455,2,1,0,0,18,0.0681818,1.40593,1.30987,14301,0.983333,0.0632906,0.0875257,0.186545,0.0632906,0.189767,0.591887,0.592066,0.20273,21,32,0.789953,0.635445,0.154509,0.983333,0.901802,-1.08717,2.56382,0.718538,0.28125,3.05176e-05,0.0508613,9,1024,220,264,204390,256910,39104,3144,96,0.363636,144,0.545455,0.0153824,0.191321,0.00299835,349.333,0.0193189,18082.5,3604,37.5417,7.5,134,54.0729,42,131,133,24,3144,131,130.5,134,1.58114,132.25,133,133.85,0.727273,1,3,0.862439,1,1,3,45.3032
3_-0.01_0.21_-0.18_0.36_-0.18_0.38_0.33_0.06_-0.06_0.35,268,360,25.3372,0.0703811,0.57292,184,80,0.983665,3.73321,0,0.420199,280.779,0.291045,0.0161783,9.36147,0.00172817,10.7125,0.111111,1.0221,-173,0.258333,2,1,36,0.1,0,0,1.06551,1.06551,98,1.31738,0.0351915,0.150193,0.606575,0.0351915,0.105575,0.831098,0.831098,0.2589,21,78,0.767005,0.5355,0.231505,1.31738,0.965132,-0.515407,3.57878,0.550566,0.153846,7.43866e-05,0.400867,9,1024,268,360,244381,362640,90940,22680,207,0.575,243,0.675,0.0928059,0.372124,0.0216293,2520,0.0981648,25671.1,27549,133.087,68,436,154.596,234,421,427,81,22680,280,84,564,241.683,548,564,564,1.15,1,3,1.06184,2,3,3,81.3046
3_-0.02_-0.2_-0.12_-0.13_0.14_-0.01_0.12_0.48_-0.01_0.17,244,312,22.2806,0.0714122,0.661425,184,56,0.891609,3.82229,2.22045e-15,0.420479,234.393,0.12256,0.00985157,9.18013,0.00107314,15.6153,0.0769231,0.821547,-173,0.221154,2,1,24,0.0769231,12,0.0384615,1.4092,1.24341,1274,1.56645,0.0627394,0.162554,0.4928,0.0627394,0.188184,0.585866,0.586278,0.162058,9,56,0.76455,0.5805,0.184051,1.56645,1.56115,0.805373,4.59539,0.711191,0.160714,5.34058e-05,0.136102,9,1024,244,312,226321,286750,42397,3708,96,0.307692,120,0.384615,0.0163838,0.187331,0.00353622,412,0.0206648,19937.3,9282,96.6875,109,153,47.9593,119.75,150,153,24,3708,154.5,154.5,157,1.80278,155.5,157,157,0.615385,0,4,1.07692,1,1,4,45.3949
3_-0.02_0.08_-0.43_-0.06_-0.15_0.25_-0.45_0.37_-0.39_-0.14,532,888,27.6358,0.0311214,1.29589,184,344,0.989548,2.92062,7.21645e-16,0.389211,618.161,0.290548,0.00718489,9.38256,0.00076577,14.7339,0.027027,0.872054,-173,0.402027,2,1,140,0.157658,105,0.118243,1.26017,1.1526,786.5,2.38303,0.0674763,0.141446,0.684158,0.0674763,0.202233,0.658292,0.658315,0.18511,9,100,0.760726,0.633757,0.126969,2.38303,2.70838,5.68584,8.86998,0.758611,0.09,9.53674e-05,0.0749605,9,1024,532,888,237278,419488,61746,21988,22728,25.5946,696,0.783784,0.0926677,0.260226,0.0209694,2443.11,0.0953328,25627.2,1.63513e+06,71.9435,73,494,39.2151,89,101,108,24,21988,916.167,862.5,2524,880.524,1246.5,2522.7,2523,51.1892,24,102,43.6572,97,97,100,66.7085
3_-0.02_0.42_-0.1_-0.26_0.08_-0.12_0.49_0.16_0.46_-0.02,456,736,31.9837,0.0434561,0.838772,184,268,1.03893,3.6736,7.88258e-15,0.401508,518.587,0.194236,0.00931604,9.3562,0.000995707,15.0969,0.0326087,0.970092,-173,0.381793,2,1,128,0.173913,47,0.0638587,1.27885,1.06967,135,3.16116,0.0535717,0.111248,0.544482,0.0535717,0.160708,0.784552,0.784623,0.301381,21,244,0.708245,0.515963,0.192283,3.16116,4.27453,18.3879,18.4562,0.921877,0.131148,0.000232697,0.115031,9,1024,456,736,285882,426600,72278,8868,1016,1.38043,440,0.597826,0.0310198,0.252825,0.00845718,985.333,0.0363013,27143.2,66212,65.1693,49.5,168,46.2453,106,120,122,88,8868,100.773,54.5,248,89.0561,238,245,246,2.76087,1.5,16,3.40514,5,7,9,91.5098
3_-0.03_0.42_-0.17_0.25_0.08_-0.26_-0.09_-0.28_-0.27_-0.32,220,264,22.5135,0.0852786,0.788765,184,32,0.72529,3.48802,1.11022e-16,0.439946,207.41,0,0.0129757,9.38673,0.00138235,13.1407,0.0909091,0.800006,-173,0.170455,2,1,0,0,24,0.0909091,1.59904,1.31789,2790.5,1.36026,0.0525541,0.198514,0.441061,0.0525541,0.152233,0.532491,0.58889,0.162042,21,72,0.762571,0.519356,0.243216,1.36026,1.52471,1.13323,4.96202,0.616092,0.166667,6.86646e-05,0.150718,9,1024,220,264,219394,264312,31618,3180,108,0.409091,144,0.545455,0.0144945,0.144115,0.00303268,353.333,0.0187925,18801.8,3570,33.0556,46.5,56,19.7249,49,49,54,36,3180,88.3333,89,95,3.65908,91,93.5,94,0.818182,1,2,0.833196,2,2,2,47.1416
3_-0.04_-0.18_0.44_0.12_0.27_0.34_0.3_-0.42_-0.04_-0.36,424,672,30.4386,0.0452956,0.896866,184,236,1.0566,3.7224,4.44089e-16,0.409323,479.192,0.257637,0.00921472,9.36554,0.000983896,14.7135,0.0357143,0.931931,-173,0.370536,2,1,116,0.172619,51,0.0758929,1.45479,1.13655,241,2.2981,0.0520315,0.134076,0.628483,0.0520315,0.15609,0.690286,0.690544,0.225707,9,120,0.746644,0.457647,0.288997,2.2981,2.26243,3.69306,8.36246,0.965766,0.166667,0.000114441,0.244098,9,1024,424,672,229406,379550,77758,27896,1276,1.89881,532,0.791667,0.121601,0.338954,0.0266037,3099.56,0.128503,24120.4,132964,104.204,97,1031,101.266,108,125,150,38,27896,734.105,236,2192,858.063,1873.5,1973.6,2192,3.79762,3,13,3.31853,6,8,11,64.7404
3_-0.04_-0.28_-0.25_-0.26_-0.43_-0.22_0.37_-0.09_-0.01_0.41,480,784,28.3515,0.0361627,1.49807,184,292,1.02405,3.28353,2.88658e-14,0.406577,557.758,0.173413,0.0119183,9.37012,0.00127194,12.8348,0.0306122,0.84059,-173,0.389031,2,1,104,0.132653,106,0.135204,1.19353,1.00579,9408,1.35635,0.0678072,0.108843,0.583157,0.0678072,0.203417,0.830619,0.830641,0.305924,21,56,0.80355,0.683329,0.120221,1.35635,1.6908,1.82632,4.72554,0.613217,0.160714,5.34058e-05,0.0522393,9,1024,480,784,189821,394670,75079,49714,4446,5.67092,752,0.959184,0.261899,0.395525,0.047411,5523.78,0.227809,24247.5,498990,112.233,103,1290,100.324,108,128,308,28,49714,1775.5,126.5,6147,2172.61,2946.25,6147,6147,11.3418,7,43,10.3564,14,29,32,86.2175
3_-0.04_-0.3_-0.36_0.1_0.02_0.17_0.08_-0.44_-0.07_0.2,420,664,34.8718,0.0525177,0.97085,184,232,1.05856,3.645,2.22045e-16,0.411604,482.976,0.263265,0.00662715,9.36927,0.000707328,17.6181,0.0361446,0.949082,-173,0.368976,2,1,112,0.168675,73,0.10994,1.42754,1.10377,164,2.46236,0.0422468,0.152948,0.585436,0.0343962,0.102879,0.451347,0.452743,0.136936,9,164,0.700348,0.351213,0.349134,2.46236,2.43098,4.24998,9.89291,0.915655,0.121951,0.000156403,0.261504,9,1024,420,664,269941,421758,78947,21172,4368,6.57831,468,0.704819,0.078432,0.29246,0.0201912,2352.44,0.0859982,27354.6,297525,68.1147,64,862,57.7898,85,102,114,24,21172,882.167,270,4147,1462.61,324,4147,4147,13.1566,6,46,15.5478,33,37,40,48.122
3_-0.04_0.09_-0.37_0.28_0.1_0.35_0.35_-0.42_-0.05_0.32,544,912,37.0118,0.0405831,0.9266,184,356,0.981403,3.40637,0,0.402084,661.069,0.241246,0.00782319,9.37793,0.000834213,15.11,0.0263158,0.992237,-173,0.404605,2,1,160,0.175439,108,0.118421,1.35937,1.06201,16,2.86809,0.0484247,0.152969,0.679925,0.0169163,0.0507479,0.805377,0.805408,0.247921,21,214,0.696194,0.260962,0.435232,2.86809,3.30905,10.4652,14.8851,0.908248,0.107477,0.000204086,0.180745,9,1024,544,912,267840,471344,106392,17246,1708,1.87281,748,0.820175,0.0643892,0.397222,0.0164471,1916.22,0.0653254,29333.5,79738,46.685,32.5,230,43.848,74,114,122.65,124,17246,139.081,63.5,473,166.644,133,462.7,467.85,3.74561,3,15,3.19899,5,8,10,79.9897
3_-0.04_0.13_-0.18_0.25_-0.39_-0.22_-0.35_0.43_-0.03_0.11,388,600,27.1953,0.0453255,1.21219,184,200,1.07129,3.28904,1.77636e-15,0.392481,420.407,0.217968,0.0102024,9.3822,0.00108742,14.3713,0.04,0.882878,-173,0.355,2,1,80,0.133333,50,0.0833333,1.46346,1.27627,411,1.95354,0.0353279,0.101899,0.55702,0.0232525,0.0697546,0.98653,0.986565,0.653768,21,143,0.735159,0.380573,0.354586,1.95354,1.87966,1.92514,6.87184,0.855505,0.160839,0.000136375,0.206693,9,1024,388,600,240702,370636,61667,21970,1841,3.06833,572,0.953333,0.0912747,0.256196,0.0209522,2441.11,0.10132,24093.2,109929,59.7116,50,317,49.5927,78,108,169,94,21970,233.723,211,557,197.759,439.75,552.7,555,6.13667,6,13,3.88733,10,11,11,68.4302
3_-0.04_0.13_0.26_0.42_-0.16_0.14_0.38_-0.32_0.19_-0.28,220,264,27.3481,0.103591,0.657029,184,32,0.72529,3.3577,0,0.442574,208.671,0,0.0121148,9.1437,0.00132493,14.3934,0.0909091,0.795748,-173,0.170455,2,1,0,0,0,0,2.08707,1.72011,1086,1.54143,0.0434504,0.160833,0.407392,0.0434504,0.130252,0.578944,0.57909,0.133439,9,81,0.717101,0.416432,0.300669,1.54143,1.48028,0.596636,4.90793,0.879298,0.246914,7.72476e-05,0.175263,9,1024,220,264,264383,314856,37779,3016,84,0.318182,112,0.424242,0.0114077,0.142895,0.00287628,335.111,0.0146588,22860.7,3744,44.5714,37,72,15.8146,61,66,69,60,3016,50.2667,59,72,15.2576,62,67.2,69,0.636364,0,3,0.846318,1,2,2,52.5764
3_-0.05_-0.11_-0.1_-0.13_-0.12_0.2_0.09_0.05_0.4_-0.08,308,440,21.4322,0.0487096,0.884694,184,120,1.05522,3.22898,0,0.414849,319.41,0.127396,0.00897639,9.35946,0.000959072,16.3144,0.0545455,0.792598,-173,0.302273,2,1,56,0.127273,31,0.0704545,1.38669,1.20002,3726.5,1.44571,0.0542517,0.145276,0.419994,0.0542517,0.16275,0.626797,0.627031,0.308204,21,64,0.7939,0.552677,0.241223,1.44571,1.43426,0.65286,4.37348,0.6892,0.1875,6.10352e-05,0.103283,9,1024,308,440,189828,287390,53634,14012,3163,7.18864,376,0.854545,0.0738142,0.28254,0.0133629,1556.89,0.0827429,18816,149026,47.1154,43,458,43.848,67,86,100,32,14012,437.875,73,2544,803.366,322.5,2320.7,2543,14.3773,5,39,14.4494,33,33,35,74.3321
3_-0.05_0.19_-0.11_-0.03_0.24_-0.09_0.17_-0.18_-0.06_-0.49,196,216,23.7115,0.109776,0.461057,184,8,0.388509,3.9183,0,0.461022,180.865,0,0.0156366,9.14306,0.00171022,13.0801,0.111111,0.796132,-173,0.0972222,2,1,0,0,0,0,1.68074,1.26689,59,1.53317,0.0503979,0.100127,0.219426,0.0503979,0.151175,0.598136,0.598426,0.190024,9,68,0.764826,0.44302,0.321806,1.53317,1.20686,-0.180519,4.48083,0.954682,0.294118,6.48499e-05,0.27753,9,1024,196,216,203732,254870,44500,1908,108,0.5,120,0.555556,0.00936524,0.218424,0.00181961,212,0.0116824,18147,2401,22.2315,18.5,57,18.8938,36,53,55,48,1908,39.75,44.5,57,13.5992,51.5,55,56.3,1,1,3,1.05409,2,3,3,45.8583
3_-0.05_0.44_0.48_0.05_0.48_-0.35_-0.01_0.42_0.03_0.28,604,1032,36.9992,0.0358519,0.956569,184,416,0.940858,3.35144,7.77156e-16,0.403015,758.454,0.20514,0.00991943,9.33898,0.00106215,14.9339,0.0232558,1.02629,-173,0.415698,2,1,132,0.127907,137,0.132752,1.24196,1.00699,744,2.32164,0.0402203,0.111351,0.572815,0.0124016,0.0372047,0.904019,0.904019,0.431604,21,204,0.697877,0.329678,0.368199,2.32164,3.10891,9.33109,11.757,0.869611,0.156863,0.00019455,0.162413,9,1024,604,1032,274624,497296,101176,39096,4092,3.96512,852,0.825581,0.142362,0.368416,0.0372849,4344,0.142743,30432.3,296550,72.4707,46,619,75.9039,107,120,153,76,39096,514.421,19,5528,1305.16,20,1824,2756.75,7.93023,8.5,20,6.13376,13,17,18,123.9
3_-0.06_-0.43_0.25_0.06_0.41_-0.09_0.24_-0.34_-0.37_-0.44,280,384,34.6148,0.0901428,0.633793,184,92,1.0132,4.03652,1.11022e-16,0.445921,294.161,0.0972789,0.0174886,9.32466,0.00187552,10.8496,0.0625,0.892401,-173,0.273438,2,1,32,0.0833333,36,0.09375,1.52585,1.17978,1223,1.83235,0.0416708,0.0929239,0.53211,0.0416708,0.125007,0.50463,0.504703,0.202657,24,150,0.675588,0.457878,0.21771,1.83235,3.06495,9.63437,9.25212,0.651883,0.126667,0.000143051,0.234632,9,1024,280,384,311366,382088,44258,6054,176,0.458333,216,0.5625,0.0194434,0.142141,0.00577354,672.667,0.024783,27142.2,11636,66.1136,76,212,47.2008,91.25,95,170,64,6054,94.5938,102,214,61.7985,113,176,208.3,0.916667,1,3,1.00692,1,3,3,68.0228
3_-0.06_0.26_-0.47_-0.45_-0.23_0.03_-0.49_-0.1_0.34_0.24,984,1792,38.0379,0.0212265,1.46129,184,796,0.732059,3.7734,3.88578e-16,0.397148,1283.2,0.335269,0.00459084,9.37074,0.000489912,21.6891,0.0133929,0.965325,-173,0.451451,2,1,384,0.214286,178,0.0993304,1.31018,1.00783,431,2.25082,0.0461531,0.100487,0.635891,0.0461531,0.138433,0.954221,0.954603,0.491276,9,124,0.749046,0.427752,0.321295,2.25082,2.14206,2.97944,7.64036,0.95413,0.16129,0.000118256,0.249338,9,1024,984,1792,223254,569437,104137,61588,19656,10.9688,1728,0.964286,0.275865,0.466451,0.0587349,6843.11,0.229964,29757.4,1.02478e+06,52.1358,41,915,50.4282,78,104,110,53,61588,1162.04,3,51522,6990.28,320,666,864.6,21.9375,25,66,13.8061,33,37,39,93.4524
3_-0.07_-0.04_-0.01_0.18_-0.29_0.03_-0.3_-0.44_-0.4_0.29,244,312,29.6822,0.0951352,0.562598,184,56,0.891609,3.85374,1.11022e-16,0.423229,234.498,0.131148,0.0110504,9.36079,0.0011805,13.2038,0.0769231,0.881131,-173,0.221154,2,1,24,0.0769231,12,0.0384615,1.70577,1.31889,279,1.57228,0.0430784,0.201869,0.581502,0.0337963,0.101385,0.361139,0.361306,0.0677318,9,80,0.713361,0.349037,0.364324,1.57228,1.23372,-0.240024,4.83104,0.918584,0.25,7.62939e-05,0.258877,9,1024,244,312,255418,330062,55782,3936,60,0.192308,96,0.307692,0.01541,0.218395,0.00375366,437.333,0.0187713,23298,3936,65.6,43.5,114,34.407,104.25,111.1,113,60,3936,65.6,43.5,114,34.407,104.25,111.1,113,0.384615,0,2,0.624926,1,1,2,23.8387
3_-0.07_-0.27_0.27_0.42_0.05_-0.07_0.46_-0.15_0.31_-0.28,392,608,31.9623,0.0525696,1.08919,184,204,1.07004,3.68678,1.11022e-16,0.431762,461.183,0.159621,0.00841344,9.36447,0.000898443,16.1961,0.0394737,0.905714,-173,0.356908,2,1,76,0.125,59,0.0970395,1.59483,1.34396,1375,1.83719,0.0492983,0.14654,0.532457,0.0492983,0.147891,0.533403,0.533414,0.123328,9,102,0.704355,0.48391,0.220446,1.83719,2.2458,3.9913,7.13905,0.83861,0.196078,9.72748e-05,0.100298,9,1024,392,608,287386,413530,64800,14880,1100,1.80921,464,0.763158,0.0517771,0.225481,0.0141907,1653.33,0.0604481,27351.3,48736,44.3055,32,193,42.0199,65,95,141,32,14880,465,513,648,189.904,640.5,646.9,647.45,3.61842,3,11,3.00862,6,8,9,37.7875
3_-0.07_-0.45_-0.22_-0.41_0.28_0.34_-0.18_-0.03_-0.05_-0.03,220,264,29.9356,0.113393,0.688158,184,32,0.72529,3.79544,0,0.450828,210.914,0,0.0121148,9.1437,0.00132493,14.3934,0.0909091,0.76846,-173,0.170455,2,1,0,0,0,0,2.18815,1.68319,5410,0.888918,0.0502615,0.160833,0.407392,0.0502615,0.150733,0.633646,0.634248,0.183389,33,44,0.762247,0.495748,0.2665,0.888918,0.900741,-0.546491,2.9013,0.457086,0.181818,4.19617e-05,0.176702,9,1024,220,264,213073,321021,77032,26936,304,1.15152,180,0.681818,0.126417,0.361529,0.0256882,2992.89,0.128275,23331.8,57752,189.974,94,918,238.096,160.75,453,917,76,26936,354.421,60,1752,607.763,201,1752,1752,2.30303,2,7,2.47392,3,7,7,60.1463
3_-0.07_0.06_-0.02_-0.19_-0.13_0.41_-0.28_-0.23_0.44_-0.34,308,440,36.2063,0.0822871,0.853451,184,120,1.05522,3.31897,1.66533e-16,0.430606,329.193,0.242424,0.00821499,9.39654,0.000874257,16.8501,0.0545455,0.803659,-173,0.302273,2,1,56,0.127273,35,0.0795455,1.30507,1.06392,5579,1.43999,0.0540981,0.161481,0.522112,0.0540981,0.162221,0.613092,0.613139,0.140215,29,80,0.678219,0.544978,0.133241,1.43999,2.79774,7.20217,6.3812,0.492893,0.1,7.62939e-05,0.0836048,9,1024,308,440,321168,429854,69887,24681,928,2.10909,312,0.709091,0.0768476,0.217603,0.0235376,2742.33,0.0915908,29941.1,69485,74.8761,60,822,109.469,79,101,123.65,48,24681,514.188,240.5,1250,506.141,1196.25,1238.3,1248,4.21818,3,11,3.46773,7,8,9,53.3609
3_-0.07_0.19_0.13_-0.27_0.03_0.3_-0.49_0.44_0.18_0.33,352,528,35.1541,0.0665798,0.709803,184,164,1.07598,3.45307,3.33067e-16,0.409324,393.044,0.276245,0.0158068,9.18993,0.00172001,11.6195,0.0454545,0.964383,-173,0.335227,2,1,72,0.136364,30,0.0568182,1.20973,1.0252,953,1.72913,0.0331631,0.118857,0.499954,0.00560474,0.0168142,0.78627,0.786316,0.47434,24,168,0.662856,0.281042,0.381814,1.72913,3.08898,8.87273,8.40514,0.471679,0.0654762,0.000160217,0.136901,9,1024,352,528,318768,443716,77880,28834,448,0.848485,240,0.454545,0.0904545,0.244316,0.0274982,3203.78,0.105955,30237.2,46035,102.757,52.5,1734,270.629,87,121.3,205,76,28834,379.395,4,2410,868.833,5,2373.5,2407,1.69697,0,12,2.44776,3,5,5,141.089
3_-0.07_0.25_-0.01_0.28_0.19_0.1_-0.11_-0.06_-0.02_-0.37,244,312,23.1637,0.0742425,0.535801,184,56,0.891609,3.64979,0,0.422592,235.925,0.253708,0.00994176,9.1813,0.00108283,15.5296,0.0769231,0.846306,-173,0.221154,2,1,48,0.153846,0,0,1.78186,1.4293,4835,1.22784,0.0417519,0.163376,0.456477,0.0417519,0.125141,0.379957,0.380078,0.118583,9,60,0.761863,0.403095,0.358768,1.22784,0.795177,-1.12598,3.28814,0.894584,0.333333,5.72205e-05,0.204593,9,1024,244,312,209714,270850,44784,360,48,0.153846,72,0.230769,0.00171662,0.213548,0.000343323,40,0.00212396,18832.7,696,14.5,14.5,15,0.5,15,15,15,24,360,15,15,15,0,15,15,15,0.307692,0,2,0.605693,0,1,2,30.1365
3_-0.07_0.25_0.25_0.43_-0.14_0.1_0.19_-0.35_-0.49_0.03,376,576,37.8196,0.065659,0.811092,184,188,1.07427,3.73331,1.11022e-16,0.396704,408.201,0.239362,0.0130634,9.39409,0.0013906,11.861,0.0416667,0.9955,-173,0.348958,2,1,60,0.104167,78,0.135417,1.40577,1.13981,4165.5,1.70707,0.0391846,0.134033,0.546123,0.00539207,0.0161753,0.782944,0.783039,0.443258,12,134,0.661311,0.307795,0.353517,1.70707,2.91386,7.43839,7.93988,0.534188,0.0820896,0.000127792,0.195016,9,1024,376,576,314056,453244,89906,16034,636,1.10417,393,0.682292,0.0510546,0.286274,0.0152912,1781.56,0.0574222,31025.6,35402,55.6635,23,496,93.2306,85,106,114.25,126,16034,127.254,2,602,229.267,132,599,602,2.20833,2,6,2.04337,3,6,6,63.4193
3_-0.07_0.26_-0.44_0.45_0.0_0.18_-0.2_-0.21_0.45_-0.05,308,440,32.7725,0.0744829,0.826783,184,120,1.05522,3.72911,0,0.414996,320.026,0.114409,0.00908017,9.36027,0.000970076,15.7026,0.0545455,0.878083,-173,0.302273,2,1,48,0.109091,41,0.0931818,1.66488,1.40036,2290,1.6265,0.0360775,0.17086,0.501513,0.0360775,0.10821,0.414725,0.414766,0.118953,9,109,0.682774,0.429389,0.253385,1.6265,1.79761,1.72328,5.75952,0.789746,0.183486,0.000103951,0.131996,9,1024,308,440,305338,405002,64712,11702,412,0.936364,304,0.690909,0.0383247,0.211936,0.0111599,1300.22,0.0464959,27964.2,19906,48.3155,31,461,79.6815,59,93,134.9,100,11702,117.02,19.5,559,177.004,176,558,559,1.87273,1,7,2.03876,3,5.1,6,35.2282
3_-0.07_0.3_0.24_-0.19_-0.37_-0.4_-0.13_0.11_0.18_-0.15,304,432,34.0223,0.0787553,0.717698,184,116,1.05102,3.79882,2.22045e-16,0.427276,326.919,0.183897,0.0100015,9.19,0.00108831,14.9026,0.0555556,0.866485,-173,0.298611,2,1,36,0.0833333,53,0.122685,1.70281,1.34432,1756,1.78632,0.0361519,0.158233,0.516795,0.0321131,0.0963326,0.462619,0.463096,0.0975902,9,116,0.669934,0.343736,0.326199,1.78632,1.86344,1.76864,6.25975,0.834043,0.172414,0.000110626,0.246027,9,1024,304,432,308280,387002,48810,2550,203,0.469907,204,0.472222,0.0082717,0.15833,0.00243187,283.333,0.0104108,27215.4,5053,24.8916,2,112,33.1207,52,79,95,72,2550,35.4167,2,123,47.1115,88.25,106.4,114.95,0.939815,0,5,1.30032,1,3,4,50.5682
