key,n_node,n_edge,total_length,mean_edge_len,len_cv,deg2_count,deg4_count,degree_entropy,orient_entropy,anisotropy,radius_gyration,moment_total,clustering_coef,fiedler_value,lambda_max,spectral_gap_ratio,aspl_giant,boundary_frac,fractal_dim_box,rigidity_index,redundancy_ratio,max_k_core,kcore_frac,triangle_count,triangle_ratio,quad_count,quad_ratio,avg_shortest_dy,straightness,mesh_median_area,mesh_cv_area,mesh_max_area_ratio,edge_betweenness_max,edge_betweenness_gini,largest_pore_ratio,top_area_sum_ratio,top_convexity_min,top_convexity_mean,top_circularity_min,big_pore_count,total_pore_count,total_pore_ratio,center_pore_ratio,edge_pore_ratio,pore_area_cv,pore_area_skew,pore_area_kurtosis,pore_area_max_over_mean,pore_large_area_frac,pore_count_large_frac,pore_density,pore_spatial_cv,contact_thick,contact_canvas_size,contact_nodes,contact_edges,contact_edge_pixel_union_count,contact_edge_pixel_sum,contact_raw_overlap_pixel_count,contact_overlap_pixel_count,contact_overlap_pair_count,contact_overlap_pairs_per_edge,contact_edges_with_contact_count,contact_edges_with_contact_ratio,contact_overlap_pixel_ratio_union,contact_raw_overlap_pixel_ratio_union,contact_overlap_pixel_ratio_canvas,contact_overlap_length_px_approx,contact_overlap_length_ratio_centerline,contact_centerline_length_px,contact_overlap_pair_size_sum,contact_overlap_pair_size_mean,contact_overlap_pair_size_median,contact_overlap_pair_size_max,contact_overlap_pair_size_std,contact_overlap_pair_size_q75,contact_overlap_pair_size_q90,contact_overlap_pair_size_q95,contact_overlap_cc_count,contact_overlap_cc_size_sum,contact_overlap_cc_size_mean,contact_overlap_cc_size_median,contact_overlap_cc_size_max,contact_overlap_cc_size_std,contact_overlap_cc_size_q75,contact_overlap_cc_size_q90,contact_overlap_cc_size_q95,contact_edge_contact_degree_mean,contact_edge_contact_degree_median,contact_edge_contact_degree_max,contact_edge_contact_degree_std,contact_edge_contact_degree_q75,contact_edge_contact_degree_q90,contact_edge_contact_degree_q95,max_load
3_-0.28_-0.2_0.07_-0.29_-0.47_0.43_-0.05_-0.12_-0.15_0.4,532,888,40.8474,0.0459994,0.74769,184,344,0.989548,3.72808,1.66533e-16,0.401854,641.91,0.24812,0.00722925,9.39566,0.000769425,16.5179,0.027027,1.03627,-173,0.402027,2,1,144,0.162162,111,0.125,1.36652,1.14513,357,2.64984,0.030427,0.0998764,0.595292,0.030427,0.0912771,0.598967,0.599031,0.191969,9,264,0.641438,0.36796,0.273478,2.64984,3.4058,10.5751,12.523,0.782636,0.0909091,0.00025177,0.159392,9,1024,532,888,350830,532734,94598,18639,910,1.02477,587,0.661036,0.0531283,0.269641,0.0177755,2071,0.0597082,34685.3,55553,61.0473,59,797,89.2253,78,97,107,92,18639,202.598,143,860,249.262,166,818,820,2.04955,2,10,2.07837,3,5,5,78.1923
3_-0.28_-0.31_0.37_0.18_0.01_-0.45_0.46_-0.46_0.37_-0.27,356,536,37.213,0.0694273,0.69476,184,168,1.07617,3.47299,0,0.446657,409.281,0.147673,0.0141043,9.36086,0.00150673,12.9271,0.0447761,0.927823,-173,0.337687,2,1,56,0.104478,55,0.102612,1.43494,1.09817,808,1.92522,0.0428925,0.108101,0.503855,0.0428925,0.128598,0.65504,0.655253,0.217651,16,169,0.670293,0.462395,0.207898,1.92522,3.4337,13.5808,10.8144,0.714127,0.159763,0.000161171,0.147116,9,1024,356,536,324820,425480,58064,3234,252,0.470149,174,0.324627,0.00995628,0.178757,0.00308418,359.333,0.0124533,28854.5,7114,28.2302,10,133,36.8692,38,109,122.45,24,3234,134.75,175,184,60.3747,179,181,181.85,0.940299,0,4,1.42348,3,3,4,73.7285
3_-0.28_-0.38_-0.49_-0.12_-0.07_-0.5_-0.44_-0.35_0.36_0.06,356,536,34.3708,0.0641247,1.00464,184,168,1.07617,3.84746,8.88178e-16,0.460443,430.082,0.346174,0.0116703,9.36007,0.00124682,12.6896,0.0447761,0.840927,-173,0.337687,2,1,104,0.19403,25,0.0466418,1.77816,1.33362,193,1.81902,0.0514784,0.108611,0.565279,0.0514784,0.154409,0.769216,0.769249,0.2247,21,108,0.726089,0.518596,0.207494,1.81902,2.16105,4.46688,7.657,0.90319,0.25,0.000102997,0.14808,9,1024,356,536,255170,389732,80952,13514,3544,6.61194,416,0.776119,0.0529608,0.317247,0.012888,1501.56,0.0574811,26122.6,162366,45.8143,39,277,38.5,70,99,110,76,13514,177.816,82.5,1478,320.817,88,370.5,649.75,13.2239,9,37,13.7687,30,33,35,82.8244
3_-0.28_0.08_0.5_0.07_0.13_-0.13_0.26_-0.21_-0.02_0.44,448,720,33.7882,0.046928,0.962022,184,260,1.04362,3.8933,0,0.398347,510.574,0.306335,0.00663479,9.36907,0.000708159,16.7583,0.0333333,0.976252,-173,0.379167,2,1,132,0.183333,76,0.105556,1.4472,1.26947,130,2.78226,0.0461397,0.18579,0.632356,0.0461397,0.137014,0.826221,0.858954,0.299239,9,194,0.701164,0.468369,0.232795,2.78226,3.40008,10.7249,12.7661,0.860343,0.103093,0.000185013,0.105237,9,1024,448,720,291284,461404,89698,23245,1382,1.91944,636,0.883333,0.0798018,0.30794,0.0221682,2582.78,0.0859855,30037.4,72005,52.102,45,325,51.4836,65,116,129,92,23245,252.663,147.5,1668,359.947,247,735.7,755.45,3.83889,3,10,2.69395,6,8,9,87.574
3_-0.28_0.14_-0.07_0.4_0.33_0.11_-0.1_-0.08_-0.07_0.02,304,432,24.6868,0.0571454,0.618719,184,116,1.05102,3.43282,2.77556e-16,0.427992,340.843,0.319862,0.0103192,9.1887,0.00112303,13.4031,0.0555556,0.904968,-173,0.298611,2,1,72,0.166667,36,0.0833333,1.11793,1.03939,517,1.51543,0.0270834,0.156016,0.635944,0.0268097,0.0804291,0.712026,0.712029,0.212197,21,104,0.738303,0.438932,0.299371,1.51543,1.11474,-0.590147,3.81506,0.821953,0.221154,9.91821e-05,0.285781,9,1024,304,432,246034,339984,60990,4884,440,1.01852,324,0.75,0.0198509,0.247893,0.00465775,542.667,0.023317,23273.5,12482,28.3682,7,118,40.2521,17,103,109,72,4884,67.8333,65.5,128,52.4471,119,126,127.45,2.03704,2,5,1.56303,3,4,5,73.3137
3_-0.28_0.21_0.14_-0.45_-0.3_-0.43_-0.45_0.17_-0.04_-0.1,364,552,34.3477,0.0622241,0.891079,184,176,1.07594,3.87596,1.05471e-15,0.435372,426.391,0.338566,0.00785782,9.36029,0.000839484,17.0158,0.0434783,0.886981,-173,0.342391,2,1,104,0.188406,36,0.0652174,1.51688,1.16683,1237,1.97343,0.03934,0.106167,0.496693,0.03934,0.117895,0.647442,0.648307,0.206509,9,119,0.699641,0.378678,0.320963,1.97343,1.97867,2.25166,6.69123,0.885821,0.168067,0.000113487,0.273325,9,1024,364,552,275005,398655,58626,21724,1188,2.15217,464,0.84058,0.0789949,0.213182,0.0207176,2413.78,0.0899765,26826.7,82940,69.8148,34,513,86.6136,101,128,213.85,55,21724,394.982,342,1401,418.348,698,920.4,1401,4.30435,4,12,3.19104,6,9,11,79.6194
3_-0.28_0.23_0.19_0.26_0.01_0.41_0.07_0.01_-0.13_0.43,232,288,29.3743,0.101994,0.500108,184,44,0.821126,3.25,0,0.416223,221.252,0.212233,0.012863,9.18014,0.00140117,13.6532,0.0833333,0.873128,-173,0.197917,2,1,36,0.125,0,0,1.63096,1.51639,3423,1.27138,0.0217419,0.145453,0.429028,0.0171928,0.0515785,0.891301,0.891301,0.57986,21,116,0.69012,0.397717,0.292403,1.27138,0.969462,-0.79122,3.65452,0.827979,0.275862,0.000110626,0.167568,9,1024,232,288,302182,385206,68606,11246,134,0.465278,166,0.576389,0.037216,0.227035,0.010725,1249.56,0.0451243,27691.4,12794,95.4776,30,334,130.441,257.75,331,332,92,11246,122.239,11,337,148.782,330,334,336,0.930556,1,3,0.976479,2,2,3,74.8067
3_-0.28_0.28_0.46_0.06_0.47_-0.13_0.2_-0.21_0.23_-0.44,364,552,28.4679,0.0515722,0.984634,184,176,1.07594,3.87237,0,0.438332,429.421,0.0601779,0.0155251,9.32569,0.00166476,12.96,0.0434783,0.912343,-173,0.342391,2,1,48,0.0869565,73,0.132246,1.3155,1.01714,147,2.60401,0.0433168,0.108929,0.411819,0.0290003,0.0869999,0.989814,0.989825,0.705009,21,198,0.729604,0.3447,0.384904,2.60401,2.70561,5.95259,11.7553,0.866063,0.10101,0.000188828,0.220587,9,1024,364,552,238150,342668,56519,8617,636,1.15217,380,0.688406,0.0361831,0.237325,0.00821781,957.444,0.0429076,22314.1,19231,30.2374,21,108,26.5492,43.25,69,80.25,140,8617,61.55,54,121,35.6125,102,118.1,120,2.30435,2.5,8,2.05225,4,4,5,85.807
3_-0.28_0.39_-0.44_-0.13_0.23_0.18_-0.11_-0.11_-0.05_-0.08,424,672,31.3906,0.0467123,1.02751,184,236,1.0566,3.31214,1.9873e-14,0.401192,474.165,0.157008,0.00821412,9.33113,0.000880292,16.1827,0.0357143,0.888952,-173,0.370536,2,1,84,0.125,48,0.0714286,1.59885,1.47134,172,2.8908,0.0674791,0.14725,0.543606,0.0674791,0.202318,0.695086,0.695345,0.214672,9,136,0.726845,0.617608,0.109237,2.8908,3.40084,9.94415,12.626,0.774755,0.0661765,0.0001297,0.042473,9,1024,424,672,277747,447414,90859,33078,1232,1.83333,500,0.744048,0.119094,0.327129,0.0315456,3675.33,0.125654,29249.6,104880,85.1299,93.5,403,76.3596,107,190,242,108,33078,306.278,70,966,360.33,422,961,965,3.66667,2,13,3.68825,5.25,9,12,63.7614
3_-0.28_0.48_-0.17_-0.21_-0.22_0.14_0.35_-0.08_0.07_0.28,768,1360,36.5758,0.026894,1.15123,184,580,0.839282,3.21548,3.83027e-15,0.398177,981.345,0.249008,0.00594402,9.38238,0.00063353,18.9613,0.0176471,0.973048,-173,0.436029,2,1,200,0.147059,193,0.141912,1.22225,1.07215,52,2.94418,0.0552998,0.0997034,0.623581,0.0552998,0.165895,0.781981,0.782026,0.390393,9,172,0.724685,0.522976,0.201709,2.94418,3.44061,10.7627,13.1251,0.925742,0.116279,0.000164032,0.122202,9,1024,768,1360,267852,563598,110958,59796,6810,5.00735,1260,0.926471,0.223243,0.414251,0.0570259,6644,0.204107,32551.5,547207,80.3535,75,823,71.7013,95,113,162,84,59796,711.857,32,4795,1166.1,694,2477,2502,10.0147,7,44,9.99565,12,25,29,102.916
